nombre,precio,calificacion,competidor,ciudad,check_in,check_out
Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,COP 120.000,"Puntuación: 7,9
7,9
Bien
3.231 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-11-11,2024-11-12
MG Hotels & Suites,COP 399.760,"Puntuación: 8,1
8,1
Muy bien
323 comentarios",MG Hotels & Suites,GUATAPÉ,2024-11-11,2024-11-12
Movich Hotel Las Lomas,COP 720.000,"Puntuación: 8,6
8,6
Fabuloso
2.393 comentarios",Movich Hotel Las Lomas,GUATAPÉ,2024-11-11,2024-11-12
Lagoon Beach Hotel & Spa,0,"Puntuación: 7,5
7,5
Bien
5.378 comentarios",Hotel Lagoon,GUATAPÉ,2024-11-11,2024-11-12
Hotel Casa Linda Guatape,COP 149.200,"Puntuación: 8,8
8,8
Fabuloso
293 comentarios",Hotel Casa Linda Guatape,GUATAPÉ,2024-11-11,2024-11-12
NOMADA HOTEL GUATAPE,COP 134.160,"Puntuación: 9,3
9,3
Fantástico
83 comentarios",NOMADA HOTEL GUATAPE,GUATAPÉ,2024-11-11,2024-11-12
Ayenda Hotel Bambu Guatape,COP 131.560,"Puntuación: 8,7
8,7
Fabuloso
195 comentarios",Ayenda Hotel Bambu Guatape,GUATAPÉ,2024-11-11,2024-11-12
Ayenda Hotel Bambu Guatape,COP 131.560,"Puntuación: 8,7
8,7
Fabuloso
195 comentarios",Brisas Guatape ,GUATAPÉ,2024-11-11,2024-11-12
Hotel Real,COP 263.340,"Puntuación: 8,7
8,7
Fabuloso
551 comentarios",Hotel Real Guatape ,GUATAPÉ,2024-11-11,2024-11-12
Hotel Omaga El peñol- Guatape,COP 120.000,"Puntuación: 10
10
Excepcional
2 comentarios",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Hotel La Magdalena Adult Only,COP 120.000,"Puntuación: 9,1
9,1
Fantástico
248 comentarios",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Tau House,COP 992.260,"Puntuación: 9,3
9,3
Fantástico
340 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Vivanti Resort,COP 120.000,"Puntuación: 9,1
9,1
Fantástico
90 comentarios",Vivanti Resort,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Finca Santa Maria de las Cañadas,0,"Puntuación: 9,2
9,2
Fantástico
13 comentarios",Santa Maria de las Aguas ,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Finca hotel boutique en el peñol,COP 120.000,"Puntuación: 7,9
7,9
Bien
3.231 comentarios",Arvum Hotel Boutique,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
El Jardín Del Edén,COP 259.500,"Puntuación: 8,8
8,8
Fabuloso
330 comentarios",jardin del eden ,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Bethel Lozana Guatape,COP 120.000,"Puntuación: 8,9
8,9
Fabuloso
63 comentarios",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
"San Simon Glamping,El peñol,Guatape",COP 120.000,"Puntuación: 8,9
8,9
Fabuloso
60 comentarios",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Glamping The Mountain,COP 120.000,"Puntuación: 9,2
9,2
Fantástico
160 comentarios",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Levit Glamping - Hotel Guatapé Peñol,COP 120.000,"Puntuación: 9,2
9,2
Fantástico
79 comentarios",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Atma Eco Village,COP 120.000,"Puntuación: 8,8
8,8
Fabuloso
112 comentarios",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Cabaña El peñol Guatape,COP 120.000,"Puntuación: 7,9
7,9
Bien
3.231 comentarios",Bosko,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Ibuku Hotel Guatapé - Chalets,COP 507.480,"Puntuación: 8,6
8,6
Fabuloso
56 comentarios",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
La Pausa Hotelbistro,COP 702.000,"Puntuación: 9,6
9,6
Excepcional
328 comentarios",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
The Boato Hotel,COP 334.880,"Puntuación: 9,0
9,0
Fantástico
1.094 comentarios",The Boato Hotel,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
"Cabañas Navegar- El peñol, Guatape",COP 120.000,"Puntuación: 8,3
8,3
Muy bien
14 comentarios",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
Tau House,COP 992.260,"Puntuación: 9,3
9,3
Fantástico
340 comentarios",Tau House,"EL PEÑOL, GUATAPÉ",2024-11-11,2024-11-12
